회사명,대표이사,홈페이지,본사주소,재무현황연도
주식회사 스패이드,YI CHONG KUL(이종걸) ,http://spaid.ai,"서울특별시 강남구 선릉로111길 37, 2층(논현동, 이안빌딩) ",2024
재단법인 건설산업정보원,정연태,http://kcinet.or.kr,"서울특별시 강남구 도산대로 307, 6층 701호(신사동, 백영빌딩)",2024
주식회사 스튜디오메타포,최정은,http://,"경기도 용인시 수지구 고기로 595, 지 1층 (고기동)",2024
(주)한텍시스템,이재준,http://,"대구광역시 동구 장등로 56, 123호 (신천동, 벽산e-솔렌스힐)",2024
(주)지란지교테크,길기현,http://www.jirantech.com,"경기도 성남시 수정구 금토로80번길 37, WEST동 3층(금토동, 인피니티타워) ",2024
주식회사 로인즈,권기철,http://,"대구광역시 달서구 중흥로 3, 3층 (송현동, 달서구청년창업지원센터 )",2024
(주) 인페이블,강현서,http://www.infable.kr,"서울특별시 구로구 경인로 661, 제12층 101동 1212호(신도림동) ",2024
(주)디스트릭트코리아,이성호,http://www.dstrict.com,"서울특별시 강남구 테헤란로87길 29, 9층 904호(삼성동, M타워)",2024
(주)유성소프트,안은희,http://www.ussoft.co.kr,"서울특별시 서초구 서초대로46길 20-6, 2층, 3층 (서초동, J빌딩)",2024
서일이앤씨(주),이권주,http://seoilenc.com,"경기도 남양주시 순화궁로 249, M동 9층 911,912, 913, 914호 (별내동, 별내역 파라곤스퀘어) ",2024
(주)원비즈시스템,박의영,http://,"서울특별시 서대문구 충정로 47, 2호 (충정로3가, 신원빌딩 4층)",2024
주식회사 에쓰씨케이,이승근,www.sckcorp.co.kr,"서울특별시 강남구 학동로31길 12 (논현동, 벤처캐슬빌딩 4층)",2024
SY B2B,최성훈,http://,강원특별자치도 춘천시 동내면 거두택지길44번길 7-9 ,2024
신성정보통신 주식회사,송동규,http://,"인천광역시 연수구 벚꽃로142번길 26, 202호 (연수동)",2024
한신이엔씨,강태종,http://,제주특별자치도 제주시 도남로15길 5(도남동),2024
주식회사 이지테이크,강대현,http://www.eztake.com,"울산광역시 남구 옥현로 129, 5층 507호 (무거동, 벤처빌딩)",2024
투아이시스(주),박종국,www.2isys.com,경기도 군포시 공단로 137 (당동),2024
주식회사 이니라인,차기성,http://www.iniline.co.kr,"서울특별시 구로구 디지털로34길 55, 1102호 (구로동)",2024
